Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,22uF,C5672
C10,0805,1,100nF,C28233
"C2, C3, C6",0805,3,4.7uF,C1779
"C4, C5, C7",0805,3,0.1uF,C28233
D1,D_SMA,1,SS14,C2480
D2,0603,1,LED,C2286
D3,SOT-143,1,SP0503BAHT,C2682275
D4,0603,1,TX,C2286
D5,0603,1,RX,C2286
J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C5337088
Q1,SOT-363_SC-70-6,1,MUN5211DW1,C152507
"R1, R2",0603,2,5.1k,C23186
"R10, R11, R25, R26, R27, R28",1206,6,1K,C1469
"R18, R19, R39, R9",1206,4,10k,C1489
"R21, R24",1206,2,4.7k,C17673
R3,0603,1,2.2k,C4190
R38,0805,1,47k,C17713
"R4, R5",0805,2,22R,C17561
R40,0805,1,22k,C17560
R6,0805,1,22.1K,C17552
R7,0603,1,47.5K,C23061
R8,0805,1,4.7K,C17673
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C969151
U3,SOT-23-5,1,XC6220B331MR,C22466451
