"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","LCSC PN"
"AudioJack1,AudioJack2,AudioJack3,AudioJack4,AudioJack5,AudioJack6","6","","","","","ESP32_NodeMCU:PJ-3126-5A","C145816"
"C11,C13,C14","3","100nF","","","","Capacitor_SMD:C_0402_1005Metric","C1525"
"C12,C15","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","C1713"
"C16","1","22uF","","","","Capacitor_SMD:C_1206_3216Metric","C5672"
"D6","1","RED","","","","LED_SMD:LED_0805_2012Metric","C84256"
"D7","1","GREEN","","","","LED_SMD:LED_0805_2012Metric","C84260"
"D8","1","SS14","","","","Diode_SMD:D_SMA","C2480"
"L1","1","22uH","","","","Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm","C2838326"
"R16,R17,R20,R22,R31,R42","6","10k","","","","Resistor_SMD:R_1206_3216Metric","C1489"
"R23,R37","2","100k","","","","Resistor_SMD:R_1206_3216Metric","C17900"
"R29,R30,R32","3","1k","","","","Resistor_SMD:R_1206_3216Metric","C4410"
"R33","1","0R","","","","Resistor_SMD:R_0805_2012Metric","C17477"
"R34","1","100","","","","Resistor_SMD:R_0805_2012Metric","C17408"
"R35","1","4.7k","","","","Resistor_SMD:R_1206_3216Metric","C17936"
"R36","1","220k","","","","Resistor_SMD:R_0805_2012Metric","C17556"
"R41","1","73.2k","","","","Resistor_SMD:R_0805_2012Metric","C17814"
"RN1","1","4.7k Resistor Array","","","","Resistor_SMD:R_Array_Convex_4x0603","C1980"
"U5,U6","2","ADS1115IDGS","","","","Package_SO:TSSOP-10_3x3mm_P0.5mm","C37593"
"U8","1","DW01A","","","","Package_TO_SOT_SMD:SOT-23-6","C351410"
"U9","1","FS8205A","","","","Package_TO_SOT_SMD:SOT-23-6","C908265"
"U10","1","DS3231MZ","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C107410"
"U11","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","C16581"
"U12","1","AT24CS32-SSHM","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C615972"
"U14","1","MT3608","","","","Package_TO_SOT_SMD:SOT-23-6","C84817"
